row,name,knob,region,SAM,SID,ERGAS,PSNR,SSIM,DE,S_SAM,S_SID,S_ERGAS,S_PSNR,S_DE,S_SPEC,S_SPAT,SSC
M7,gain error,per band 1%,background,0.5422,9.56295e-05,1.404,59.069,0.999989,0.476187,0.897233,0.99523,0.630648,1,0.853243,0.824533,0.999994,0.886484
M7,gain error,per band 3%,full,1.63075,0.000864494,5.13391,47.0966,0.999733,1.39238,0.721702,0.957696,0.185864,0.903219,0.629979,0.5013,0.951476,0.648517
M7,gain error,per band 3%,object,1.69073,0.000880582,3.75264,44.1105,0.999275,1.65047,0.713093,0.956926,0.288323,0.803684,0.582966,0.580692,0.90148,0.676581
M7,gain error,per band 3%,table,1.45899,0.000836538,5.1136,54.6049,0.999828,0.782873,0.746923,0.959036,0.181977,1,0.77032,0.506966,0.999914,0.684649
M7,gain error,per band 3%,background,1.61373,0.000857468,4.21201,49.5432,0.999901,1.41313,0.724158,0.958033,0.259973,0.984774,0.624463,0.558287,0.992337,0.693125
M7,gain error,per band 10%,full,5.3316,0.00951938,17.113,36.7511,0.998126,4.40587,0.344312,0.621289,0.00461894,0.558369,0.234965,0.092383,0.778247,0.221845
M7,gain error,per band 10%,object,5.56971,0.00972958,12.5088,33.798,0.996455,5.1144,0.328283,0.614793,0.0165456,0.459933,0.198933,0.147358,0.728194,0.265806
M7,gain error,per band 10%,table,4.70921,0.00917296,17.0454,44.2071,0.998187,2.63153,0.389928,0.632139,0.00343253,0.806904,0.415997,0.0944277,0.902545,0.259846
M7,gain error,per band 10%,background,5.25674,0.00942529,14.0401,39.1308,0.99891,4.48365,0.34947,0.624213,0.0144717,0.637693,0.224885,0.135538,0.818302,0.26975
M8,zero-clamping,zero <0.001,full,0.0499519,0.00621523,0.0214805,73.9288,0.999958,0.00297211,0.990061,0.735816,0.992871,1,0.99901,0.896897,0.999979,0.946784
M8,zero-clamping,zero <0.001,object,0.00643018,2.90381e-07,0.000124138,120,1,1.04314e-07,0.998715,0.999985,0.999959,1,1,0.999553,1,0.999776
M8,zero-clamping,zero <0.001,table,0.301107,0.0459556,0.486671,65.426,0.999658,0.0212957,0.94165,0.147053,0.85064,1,0.992929,0.456541,0.999829,0.666049
M8,zero-clamping,zero <0.001,background,0.0476503,0.00536293,0.0480185,74.7058,0.99997,0.00273773,0.990518,0.768193,0.984124,1,0.999088,0.907224,0.999985,0.952224
M8,zero-clamping,zero <0.003,full,0.354326,0.121817,0.172559,53.5792,0.996574,0.0414102,0.931613,0.00296556,0.944367,1,0.986292,0.130167,0.998287,0.356843
M8,zero-clamping,zero <0.003,object,0.00651213,4.53519e-06,0.000948383,119.362,1,1.69041e-06,0.998699,0.999774,0.999684,1,0.999999,0.999385,1,0.999692
M8,zero-clamping,zero <0.003,table,2.71962,0.907816,4.27049,45.0803,0.975646,0.309706,0.582633,1e-06,0.241832,0.836009,0.902003,0.00519869,0.905828,0.0685626
M8,zero-clamping,zero <0.003,background,0.29826,0.108558,0.381671,54.1783,0.996811,0.0371386,0.942408,0.0150439,0.880637,1,0.987713,0.194943,0.998405,0.419276
M8,zero-clamping,zero <0.01,full,2.43479,1.03373,1.08978,37.8511,0.961889,0.31278,0.614738,1e-06,0.701696,0.595035,0.90101,0.00754095,0.778462,0.0782959
M8,zero-clamping,zero <0.01,object,0.0106502,0.000238295,0.0129757,104.505,0.999996,0.000388179,0.997877,0.988793,0.99572,1,0.999871,0.994021,0.999998,0.996955
M8,zero-clamping,zero <0.01,table,23.0773,9.62915,30.9689,27.9213,0.644713,3.01585,0.0106394,1e-06,4.72372e-05,0.264043,0.366819,7.44974e-05,0.454378,0.00554426
M8,zero-clamping,zero <0.01,background,1.36658,0.613933,1.73855,41.2755,0.977514,0.165299,0.767013,1e-06,0.561071,0.709184,0.94667,0.00753468,0.843349,0.0811026
M8,zero-clamping,zero <0.02,full,4.50793,1.77444,2.11974,32.8187,0.931275,0.592656,0.406315,1e-06,0.510457,0.42729,0.820781,0.00587842,0.679283,0.0649384
M8,zero-clamping,zero <0.02,object,0.134749,0.0234678,0.2388,63.9775,0.99758,0.0515898,0.975778,0.81203,0.928493,0.925284,0.983696,0.86422,0.961432,0.889076
M8,zero-clamping,zero <0.02,table,42.142,17.088,56.3091,22.6847,0.33608,5.51801,0.000245787,1e-06,1e-06,0.089491,0.159328,6.09463e-06,0.212786,0.00108835
M8,zero-clamping,zero <0.02,background,2.51543,0.938441,3.22216,37.2304,0.96507,0.31591,0.617763,1e-06,0.343426,0.574346,0.900976,0.00592988,0.769708,0.0691565
M8,zero-clamping,floor 0.005,full,0.500812,0.00568806,0.287531,48.2731,0.995886,0.0796168,0.904742,0.753164,0.909369,0.942438,0.973813,0.852369,0.969162,0.909488
M8,zero-clamping,floor 0.005,object,0.00665499,6.59759e-07,0.00167012,118.993,1,4.51675e-06,0.99867,0.999967,0.999444,1,0.999998,0.99936,1,0.99968
M8,zero-clamping,floor 0.005,table,3.86618,0.0410835,6.91603,39.8072,0.969378,0.598786,0.464986,0.143524,0.102272,0.66024,0.819431,0.187543,0.814809,0.388341
M8,zero-clamping,floor 0.005,background,0.417784,0.00520251,0.636883,48.8703,0.996371,0.070639,0.920412,0.774965,0.809013,0.959633,0.976784,0.831712,0.978002,0.901645
M8,zero-clamping,floor 0.02,full,2.49589,0.0265204,2.83008,33.1835,0.973605,0.702613,0.607173,0.266557,0.414705,0.43945,0.791219,0.401741,0.706528,0.5405
M8,zero-clamping,floor 0.02,object,0.0314623,5.10991e-05,0.0475055,81.6407,0.999921,0.00845613,0.993836,0.997477,0.984614,1,0.99721,0.991933,0.99996,0.995501
M8,zero-clamping,floor 0.02,table,21.6773,0.211906,75.715,23.8663,0.770685,6.28876,0.0132519,3.34442e-05,1e-06,0.128878,0.123134,7.20776e-05,0.449781,0.00464182
M8,zero-clamping,floor 0.02,background,1.68487,0.021057,5.31314,35.0357,0.981752,0.449713,0.72072,0.378402,0.173238,0.501188,0.862686,0.355657,0.74147,0.523875
M9,constant,zeros,full,90,23.6119,171.13,8.03389,0.00891068,30.2045,1e-06,1e-06,1e-06,0,0.000216759,1e-06,0.00445534,2.94215e-05
M9,constant,zeros,object,90,23.6267,125.088,4.72495,0.0130398,49.9265,1e-06,1e-06,1e-06,0,3.7748e-06,1e-06,0.00651991,1.384e-05
